CH No;Name;SEL;Frequency;Dup;Offset;Mode;DATA;Filter;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Split;Frequency(2);Dup(2);Offset(2);Mode(2);DATA(2);Filter(2);TONE(2);Repeater Tone(2);TSQL Frequency(2);DTCS Code(2);DTCS Polarity(2);DV SQL(2);DV CSQL Code(2);Your Call Sign(2);RPT1 Call Sign(2);RPT2 Call Sign(2)
24;SR9PS;OFF;439,250000;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,25;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
25;SR9S;OFF;145,775000;DUP-;0,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,775;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
26;SR9S;OFF;439,412500;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,4125;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
27;SR9SC;OFF;438,962500;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,9625;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
28;SR9SE;OFF;439,200000;DUP-;7,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,2;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
29;SR9SS;OFF;439,100000;DUP-;7,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,1;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
30;SR9TB;OFF;438,775000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,775;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
31;SR9TG;OFF;145,612500;DUP-;0,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6125;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
32;SR9Z;OFF;145,737500;DUP-;0,600000;FM;OFF;2;TONE;107,2Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7375;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
33;SR9ZAR;OFF;439,537500;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,5375;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
